"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Opilio spawner",1998,1,1,3293144.68438868,0.229358596535534,665053.462281499
"Opilio spawner",1999,1,1,1523514.32761651,0.209181793464096,281678.715244787
"Opilio spawner",2000,1,1,3111291.50848329,0.223580666350242,617729.901088997
"Opilio spawner",2001,1,1,3253167.85916002,0.251624917777527,724734.41365848
"Opilio spawner",2002,1,1,1167902.56710001,0.214574669513493,221074.24302784
"Opilio spawner",2003,1,1,1602395.75874939,0.248968978791249,353925.394905433
"Opilio spawner",2004,1,1,3386914.4839408,0.25201358391969,758241.784069984
"Opilio spawner",2005,1,1,3075955.7716886,0.246647803815341,669804.030536653
"Opilio spawner",2006,1,1,2152100.1733513,0.205302117631589,391509.060761769
"Opilio spawner",2007,1,1,2940112.20627009,0.193878979847642,508628.383452871
"Opilio spawner",2008,1,1,3261937.50315876,0.184611366164001,532217.152533771
"Opilio spawner",2009,1,1,2823036.72635595,0.192590754873188,484227.01846255
"Opilio spawner",2010,1,1,8460586.85179533,0.233977588168163,1754503.31143491
"Opilio spawner",2011,1,1,12564202.8916172,0.208813945811646,2328468.84109811
"Opilio spawner",2012,1,1,7651441.8167813,0.187437015021895,1270231.87757589
"Opilio spawner",2013,1,1,6561265.35556768,0.178911193980964,1036449.41808629
"Opilio spawner",2014,1,1,3201630.88353026,0.180944236821649,511165.103797451
"Opilio spawner",2015,1,1,3249081.90757888,0.193313729856397,549536.286066664
"Opilio spawner",2016,1,1,3112478.63907401,0.219753609892535,599205.832112082
"Opilio spawner",2017,1,1,8846049.41414644,0.244234239638537,1911166.69408529
"small cod",1982,1,1,63036.4573468796,0.167746290755791,9997.97577963105
"small cod",1983,1,1,357185.907703778,0.12760517393015,43847.4967590699
"small cod",1984,1,1,61130.5680656194,0.151783015321093,8817.01714100894
"small cod",1985,1,1,260259.775568561,0.112872784482092,28286.7448627141
"small cod",1986,1,1,194083.060045613,0.111780934513988,20891.8541145418
"small cod",1987,1,1,108400.482889616,0.137972451897771,14309.7513439083
"small cod",1988,1,1,29137.8836656712,0.201815418597904,5509.24993835279
"small cod",1989,1,1,66970.7208862323,0.21674635924136,13596.5375790844
"small cod",1990,1,1,229993.687316644,0.111958703962456,24793.5181383272
"small cod",1991,1,1,165693.219537631,0.132174167366322,21040.16746486
"small cod",1992,1,1,148803.298167966,0.124441316991629,17739.7591497339
"small cod",1993,1,1,324314.614896746,0.102864845449693,32161.5663268717
"small cod",1994,1,1,108330.053326604,0.114114396050534,11863.6896362237
"small cod",1995,1,1,69970.9869094467,0.123629704993605,8301.07092309853
"small cod",1996,1,1,83045.3020775829,0.143513229569421,11384.1425047652
"small cod",1997,1,1,242886.550040713,0.0983475258433983,23040.0523281058
"small cod",1998,1,1,111603.973781476,0.138328069509877,14784.0538521027
"small cod",1999,1,1,107690.747781967,0.132820918084867,13712.3108325286
"small cod",2000,1,1,225590.163752437,0.112029538952497,24344.9938623468
"small cod",2001,1,1,589060.276918614,0.100436609328589,57092.8361221612
"small cod",2002,1,1,132663.742477675,0.113963969191261,14529.7037795762
"small cod",2003,1,1,226593.534018373,0.103920214923358,22673.7839605339
"small cod",2004,1,1,165075.294597489,0.112656668806293,17889.4187169492
"small cod",2005,1,1,203245.941637181,0.121235357023282,23679.5690142887
"small cod",2006,1,1,387492.1917332,0.0977893669627501,36523.6836302419
"small cod",2007,1,1,577299.589405618,0.0947528871938909,52847.4687228908
"small cod",2008,1,1,292606.625845251,0.112575943133201,31753.8644554638
"small cod",2009,1,1,893530.660835558,0.0935894208463332,80773.5828525394
"small cod",2010,1,1,114885.060181358,0.133475749556278,14691.6594190315
"small cod",2011,1,1,537103.284628064,0.0953839439829464,49453.7269054763
"small cod",2012,1,1,897469.123871909,0.123287378262301,106860.553642512
"small cod",2013,1,1,206029.694561711,0.112653188221428,22368.2766295384
"small cod",2014,1,1,765543.850925234,0.120364076661917,88973.1394658319
"small cod",2015,1,1,82297.1268097675,0.135874762795704,10706.7759476067
"small cod",2016,1,1,122122.66705155,0.148844552666977,17393.2858333453
"small cod",2017,1,1,80705.210010908,0.14666876844172,11342.5333633856
"medium cod",1982,1,1,1436079.41305028,0.0736580401286377,100486.390386348
"medium cod",1983,1,1,1627957.54086087,0.0871099332697877,133339.54984703
"medium cod",1984,1,1,1759982.11795256,0.0839415045339447,139456.770310747
"medium cod",1985,1,1,1599733.64017069,0.0608531633945888,93016.4419052807
"medium cod",1986,1,1,1540886.03183015,0.0637266089207129,93840.6553362598
"medium cod",1987,1,1,1338155.52547134,0.062003145986827,79259.3553054587
"medium cod",1988,1,1,653470.878371597,0.0641408123281952,40060.0730996809
"medium cod",1989,1,1,515458.618668925,0.0671450430893008,32904.5791010423
"medium cod",1990,1,1,409592.463348135,0.0703916857638647,27458.2973397502
"medium cod",1991,1,1,611649.04323012,0.0705225883961497,41145.606167451
"medium cod",1992,1,1,784113.899103301,0.0700407257886226,52401.3660374459
"medium cod",1993,1,1,912573.374821074,0.0648384850156543,56581.5794559067
"medium cod",1994,1,1,1144516.19341609,0.063349242252504,69451.3268278788
"medium cod",1995,1,1,893106.096474704,0.065295874772045,55874.2608541217
"medium cod",1996,1,1,1141313.06704236,0.0667926576708161,73011.6759765934
"medium cod",1997,1,1,809462.268063256,0.0638452224229953,49457.0581047579
"medium cod",1998,1,1,1103022.82979397,0.0636039730674254,67241.0044992823
"medium cod",1999,1,1,756745.603925228,0.0741571924565796,53774.4323492482
"medium cod",2000,1,1,934401.758481556,0.063447884132253,56755.7000543568
"medium cod",2001,1,1,1815295.9676652,0.0658069930532894,114470.670983148
"medium cod",2002,1,1,1333415.10967242,0.0635374654519067,81088.9501267946
"medium cod",2003,1,1,1559207.86254247,0.0619505128502222,92357.249394155
"medium cod",2004,1,1,1138485.68897783,0.0626140998935433,68253.5418904959
"medium cod",2005,1,1,1319918.1382335,0.0623674044353779,78774.9543412398
"medium cod",2006,1,1,781786.934734829,0.067421419872043,50347.3565215914
"medium cod",2007,1,1,617481.674059007,0.0643640676891785,37951.1646381842
"medium cod",2008,1,1,958917.208687561,0.0731131202392818,66943.1825060842
"medium cod",2009,1,1,868576.441732915,0.0688126982706741,57118.6436136158
"medium cod",2010,1,1,1421515.40641051,0.0690966976331465,94053.9071558538
"medium cod",2011,1,1,2091039.26524356,0.0653586104157662,130899.477813681
"medium cod",2012,1,1,1590422.65019447,0.0720217537933466,109668.380224271
"medium cod",2013,1,1,2032672.19809599,0.0631519513205834,122891.223620844
"medium cod",2014,1,1,2806284.84239372,0.0687081318342394,184886.271361979
"medium cod",2015,1,1,3042347.2194397,0.0685803347698992,200003.711215873
"medium cod",2016,1,1,3155695.75028007,0.0627620530224658,189791.046727558
"medium cod",2017,1,1,1466777.1754585,0.0620189519470584,87143.5722754704
"large cod",1982,1,1,11344.9879565925,0.154860161733482,1732.56058974869
"large cod",1983,1,1,19961.5644181134,0.138646564043008,2751.52550118271
"large cod",1984,1,1,33852.2518165882,0.0990157781904281,3350.86820205305
"large cod",1985,1,1,45597.16296786,0.0755700340719969,3455.08605215079
"large cod",1986,1,1,45253.2745031693,0.0755964849479404,3427.68239305419
"large cod",1987,1,1,40919.4340525761,0.0821940636106689,3368.31909391699
"large cod",1988,1,1,27186.6682026307,0.104256861584668,2824.36762326308
"large cod",1989,1,1,39964.8542424237,0.0889254345613162,3549.48527063192
"large cod",1990,1,1,29904.514322871,0.0882000081444094,2639.55894302618
"large cod",1991,1,1,28033.5034419279,0.0979414153933006,2742.11304598903
"large cod",1992,1,1,29464.5530128413,0.089895182884634,2646.48749862417
"large cod",1993,1,1,28009.5740080732,0.0870887398563927,2441.76589206778
"large cod",1994,1,1,22230.7790405976,0.0999519963303679,2216.94701161544
"large cod",1995,1,1,21907.0835879792,0.10030592396346,2190.8808674245
"large cod",1996,1,1,39102.8779596517,0.0853498067395599,3338.62811513367
"large cod",1997,1,1,22930.4770537756,0.0963142513618544,2207.9733406175
