"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Opilio spawner",1994,1,1,14045910.6196791,0.230238438685986,2939268.84426319
"Opilio spawner",1995,1,1,18229257.656641,0.204485724198865,3392859.16916831
"Opilio spawner",1996,1,1,7666399.43454913,0.202837919994359,1411166.08500787
"Opilio spawner",1997,1,1,4433647.23770288,0.218867787095905,877738.244976272
"Opilio spawner",1998,1,1,2427889.75535146,0.228915534237307,501567.410616087
"Opilio spawner",1999,1,1,1756476.11409507,0.222935918202598,354466.623891315
"Opilio spawner",2000,1,1,3365454.91044236,0.244404257330026,745718.960017119
"Opilio spawner",2001,1,1,2655725.55999618,0.242445077578316,582377.239259333
"Opilio spawner",2002,1,1,1096311.05511368,0.231985608101707,229664.958615578
"Opilio spawner",2003,1,1,1307314.58121048,0.268004370723022,315733.01048037
"Opilio spawner",2004,1,1,2905330.19938282,0.281144194014292,738359.594392566
"Opilio spawner",2005,1,1,2242553.88214889,0.264626733946453,536095.962225598
"Opilio spawner",2006,1,1,1850279.80720395,0.202099194343606,339399.786009618
"Opilio spawner",2007,1,1,2831475.22116047,0.204536248033383,526173.378976795
"Opilio spawner",2008,1,1,3502881.48324627,0.19552106236037,621188.237776317
"Opilio spawner",2009,1,1,3199971.47465295,0.21080809878331,612571.706003939
"Opilio spawner",2010,1,1,9653913.92348452,0.262646875113075,2294675.30430212
"Opilio spawner",2011,1,1,12289570.5131772,0.230883380271626,2564838.00763042
"Opilio spawner",2012,1,1,10029934.4837854,0.211794511464952,1927253.63156451
"Opilio spawner",2013,1,1,7626194.18026425,0.200822006560678,1390342.5292531
"Opilio spawner",2014,1,1,2912725.52249278,0.19809887763553,523743.576908166
"Opilio spawner",2015,1,1,2694264.80047028,0.209363720878998,509104.912813211
"Opilio spawner",2016,1,1,2674397.59338063,0.25181581447996,606397.813939584
"Opilio spawner",2017,1,1,6521877.26538729,0.255740591160059,1514771.71368997
"small cod",1982,1,1,52323.0482567409,0.179162951301023,8918.87193207809
"small cod",1983,1,1,265108.39443422,0.136288453075848,34965.7598672992
"small cod",1984,1,1,51324.4257314133,0.156669527318828,7695.44253198344
"small cod",1985,1,1,203867.37694205,0.115862820017384,22876.3593561083
"small cod",1986,1,1,167857.465040736,0.11451582737336,18619.6275650731
"small cod",1987,1,1,70085.4435081621,0.148558844598655,10007.4087347796
"small cod",1988,1,1,23128.5476689179,0.208368932229936,4552.0376544329
"small cod",1989,1,1,44549.9412715725,0.228358123791742,9594.27688063826
"small cod",1990,1,1,186096.720052991,0.115812182417328,20861.2059898627
"small cod",1991,1,1,123669.32982048,0.138913712910274,16605.6778939961
"small cod",1992,1,1,140651.47441791,0.128686016376137,17448.807107542
"small cod",1993,1,1,243244.970394821,0.107977580382255,25465.4485015239
"small cod",1994,1,1,99678.3661481497,0.117204273233313,11275.8335595543
"small cod",1995,1,1,66492.9896914362,0.129023959508671,8281.1041824853
"small cod",1996,1,1,58279.3104352899,0.154682357097851,8646.87341812029
"small cod",1997,1,1,187426.07388277,0.10213177314013,18577.9948253217
"small cod",1998,1,1,72084.6659190436,0.145815770957478,10124.3897213681
"small cod",1999,1,1,103671.752983841,0.133524263657151,13356.9062366111
