Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Subsample Code,Voucher Taken,akfin_load_date
EBS_SHELF,2001,1063016,1063308,1072434,200101,89,158,56.66837,-172.5459,56.67479,-172.591,61,,,,,,,,,0,Y,Good performance,134,137,21720,Pacific cod,Gadus macrocephalus,56.343,23,,,10-Oct-18
EBS_SHELF,2001,1063016,1063310,1072199,200101,89,160,57.2919,-173.32561,57.31694,-173.3183,61,,,,,,,,,0,Y,Good performance,119,121,21720,Pacific cod,Gadus macrocephalus,13.3,11,,,10-Oct-18
EBS_SHELF,2001,1063015,1063040,1064061,200101,88,200,61.01376,-176.9705,60.98888,-176.9724,90,,,,,,,,,0,Y,Good performance,120,122,21720,Pacific cod,Gadus macrocephalus,4.6,3,,,10-Oct-18
EBS_SHELF,2001,1063015,1063042,1063794,200101,88,202,60.35017,-176.7226,60.3259,-176.7217,61,,,,,,,,,0,Y,Good performance,135,137,21720,Pacific cod,Gadus macrocephalus,18.6,7,,,10-Oct-18
EBS_SHELF,2001,1063015,1063051,1066493,200101,88,122,58.32115,-169.73061,58.34291,-169.70461,41,,,,,,,,,0,Y,Good performance,68,70,21720,Pacific cod,Gadus macrocephalus,186.373,264,,,10-Oct-18
EBS_SHELF,2001,1063015,1063052,1066518,200101,88,123,58.65572,-169.8,58.67916,-169.7867,41,,,,,,,,,0,Y,Good performance,66,68,21720,Pacific cod,Gadus macrocephalus,33,17,,,10-Oct-18
EBS_SHELF,2002,1117115,1117164,1117695,200201,89,176,61.68047,-176.44009,61.66118,-176.4725,90,,,,,,,,,0,Y,Good performance,102,104,21720,Pacific cod,Gadus macrocephalus,27.82,21,,,10-Oct-18
EBS_SHELF,2001,1063015,1063055,1066630,200101,88,127,59.9953,-169.95869,60.02084,-169.9505,41,,,,,,,,,0,Y,Good performance,53,55,21720,Pacific cod,Gadus macrocephalus,38.927,24,,,10-Oct-18
EBS_SHELF,2001,1063015,1063219,1068622,200101,88,54,57.65732,-164.6228,57.68259,-164.6252,10,,,,,,,,,0,Y,Good performance,51,53,21720,Pacific cod,Gadus macrocephalus,127.7,223,,,10-Oct-18
EBS_SHELF,2001,1063015,1063221,1068701,200101,88,56,58.32463,-164.65331,58.349,-164.65491,10,,,,,,,,,0,Y,Good performance,42,45,21720,Pacific cod,Gadus macrocephalus,28.5,124,,,10-Oct-18
